RowID,CaseID,Vol,Page,Order,Group,PreTitle,Forename,Surname,PostTitle,Status,Place1,County1,Place2,County2,Place3,County3
1189,2-1274-02,2,1274,2,,,Edward,Sandys,,,London,London,,,,
1190,2-1275-01,2,1275,1,,,Richard,Steward,,,Hartley,Hampshire,,,,
1191,2-1275-02,2,1275,2,,,Richard,Taylor,,,Clapham,Bedfordshire,,,,
1192,2-1275-03,2,1275,3,,,William,Jolly,,,Culcheth,Lancashire,,,,
1193,2-1276-01,2,1276,1,,Sir,Nicholas,Kemys,bart,,Keven Mable,Glamorganshire,,,,
1194,2-1276-01,2,1276,1,,Sir,Charles,Kemys,,son of Sir Nicholas,,,,,,
1195,2-1276-02,2,1276,2,,,William,Rivett,,,Rowston,Lincolnshire,,,,
1196,2-1277-01,2,1277,1,,,George,Snell,DD,parson,Waverton,Cheshire,,,,
1197,2-1277-02,2,1277,2,,,Thomas,Jones,,clerk,Ecton,Northamptonshire,,,,
1198,2-1277-03,2,1277,3,,Sir,Thomas,Blackwall,,,Mansfield Woodhouse,Nottinghamshire,,,,
1199,2-1277-04,2,1277,4,,,Robert,Bull,,,North Cadbury,Somerset,,,,
1200,2-1277-05,2,1277,5,,,Edward,Burgh,,,Preston,Somerset,,,,
1201,2-1278-01,2,1278,1,,,James,Collier,,,Newton,Lancashire,,,,
1202,2-1278-02,2,1278,2,,,Richard,Courtney,,,Lanevett,Cornwall,,,,
1203,2-1278-03,2,1278,3,,,Robert,Greaves,,town clerk,Nottingham,Nottinghamshire,,,,
1204,2-1278-04,2,1278,4,,,Robert,Leversage,,,Frome Selwood,Somerset,,,,
1205,2-1278-05,2,1278,5,,,Mary,Moore,,widow of John,Chatt,Kent,,,,
1206,2-1278-05,2,1278,5,,,John,Moore,,late husband of Mary,Chatt,Kent,,,,
1207,2-1278-06,2,1278,6,,,Robert,Nixon,,,Sleaford,Lincolnshire,,,,
1208,2-1278-07,2,1278,7,,,John,Rawson or Rewson,,,,Nottinghamshire,,,,
